id;title;domain1;domain2;domain3;Section;meta;desc;img;year;;;
Step_8_Making_concrete;Step 8: Making concrete;Technical;;;Production of Cement and Concrete;Cement to concrete;To change from cement to concrete, you combine: Cement with water, sand, coarse aggregate and admixtures. The materials are pricesly measured and mixed in a batching plant. The concrete is then transported to the construction site using a concrete mixer truck. ;Step_8_Making_concrete.png;;;;
Step_9_Forming;Step 9: Forming;Technical;Sensory;;Production of Cement and Concrete;Methods;"Forming is the stage where fresh concrete is shaped. Because fresh concrete is fluid, it can be poured into a mould or formwork and then hardens into that shape.

There are three main forming methods:

1. Cast in place
Concrete is formed directly on the construction site using formwork, reinforcement, pouring, compaction, finishing and curing. Equipment such as mixer trucks, concrete pumps, vibrators and screeds is used.

2. Precast concrete
Concrete elements are produced in a factory using moulds and controlled curing. The finished elements are then transported to the building site and usually lifted into place with a crane. This method can be used for structural elements, façades, infrastructure and smaller objects.

3. 3D concrete printing
Instead of traditional formwork, cement-based material is extruded layer by layer using a robot or printer. A digital model is sliced and translated into printed layers. This allows customized shapes and reduces the need for conventional formwork. The material must be fluid enough to be pumped but stiff enough to support the next layer.";Step_9_Forming.jpg;;;;
Energy;Energy consumed ;Technical;Ecological;;Production of Cement and Concrete;Energy intensive;Cement production requires a large amount of energy, mainly because of the high temperatures needed to produce clinker. The process uses both thermal energy and electricity. The main energy demand occurs during preheating, calcination and clinker production, where the material reaches around 1,450°C. Other stages, such as extraction, crushing, grinding, concrete production and transport, mainly use diesel or electricity. Traditionally, the thermal energy comes from coal, petroleum coke and natural gas, but cement plants increasingly use waste-derived fuels, biomass and alternative fuels. Overall, energy is used throughout the complete process, from extraction of raw materials to the transport and installation of the final concrete.;;;;;
Different_types;Differrent types of Portland cement;Technical;;;Production of Cement and Concrete;NEN-EN 197-1;There are different types of Portland cement, and the cement is selected according to the required strength, durability, setting time, heat development and environmental exposure. In Europe, cement is classified according to NEN-EN 197-1. CEM I is Portland cement and contains a high proportion of Portland clinker. It is used for general and structural concrete applications. CEM II is Portland composite cement, which combines Portland clinker with other main constituents such as limestone, fly ash or pozzolanic materials. These materials can change the properties of the cement and reduce the amount of Portland clinker required. CEM III is blast furnace slag cement, which contains a significant proportion of blast furnace slag and can be useful where durability and lower heat development are important. CEM IV is pozzolanic cement, which combines Portland clinker with pozzolanic materials that contribute to the cementitious matrix. CEM V is composite cement, which combines Portland clinker with multiple supplementary constituents such as blast furnace slag and pozzolanic materials.;;;;;
Applications;Different applications ;Technical;;;Production of Cement and Concrete;Properties;Concrete is used in many different types of construction because its properties can be adjusted to the requirements of a project. By changing the cement or binder, aggregated, water cement ratio, admixtures and reinforcement, different types of concrete can be produced. Concrete has a high compressive strength, is durable and can be cast into many different shapes. It can therefore be used for both simple elements such as paving stoned and highly engineered structured such as bridged, tunnels and high-rise buildings. ;;;;;
Formability;Formability;Technical;;;Production of Cement and Concrete;Advantages ;"One of the important advantages of concrete is that it starts as a relatively fluid material. It can therefore be poured into moulds and later hardens into the desired shape. This makes it possible to create simple structural elements as well as complex architectural forms. 
New production techniques such as 3D concrete printin expand this freedom even further. In the netherland, 3D printed concrete had already been used for houses, stairs, birdges and other elements. Concrete is therefore more than a single construction material. It can be strucutal, protective, architectural and functional at the same time. Its properties can be modified to meet different requirements, from lightweight renovation elements to massive infrastructure. New techniques such as precast production, ultra high performance concrete and 3D printing continue to expand the possible applications of concrete. ";Formability.jpg;;;;
Construction_cement;Concrete objects;Technical;;;Environmental Impact;Comon applications;Concrete is widely used in buildings, infrastructure and architectural products, including foundations, columns, beams, floors, bridges, tunnels, paving and furniture. ;;;;;
reducing_waste;Reducing Waste;Technical;Ecological;;End-of-Life and Circularity;Reducing material and carbon waste;Reducing the environmental impact of concrete requires both reducing the amount of clinker used and recovering materials from demolished concrete. Alternatives such as calcined clay, blast furnace slag and other supplementary cementitious materials can replace part of the clinker and lower production-related CO₂ emissions. At the end of life, demolished concrete can be crushed, screened and cleaned to produce recycled concrete aggregate (RCA), which can partially replace primary aggregates such as gravel in new concrete. The Dutch concrete sector aims to recycle 100% of concrete released from old structures as a raw material for new concrete by 2030.;;;;;
end_of_life;End of Life;Technical;Ecological;;End-of-Life and Circularity;Recovering concrete after demolition;When a concrete building reaches the end of its life, the material does not disappear but becomes demolition waste. Concrete elements such as precast slabs or façade panels can be carefully removed and directly reused in another building. When direct reuse is not possible, the concrete can be crushed, screened and cleaned into recycled concrete aggregate (RCA), which can be used for road bases, fill, landscaping and some new concrete applications. Recovery is technically challenging because reinforcement steel and materials such as brick, wood, glass, plastic and asphalt need to be separated, while old cement paste can affect the quality and performance of recycled aggregates. Concrete can therefore be reused, recycled or downcycled, but it cannot be composted or biodegraded.;end_of_life.jpg;;;;
Early_Lime-Based_Binders;Early Lime-Based Binders;Historical;;;Origins of Cement;;One of the earliest known uses of a lime-based cementitious material was found in Göbekli Tepe, Anatolia, around 12000–10000 BC. A terrazzo-like floor was made using burnt limestone and clay. In Yiftah’el, Galilee, around 7000 BC, a layered concrete floor was made from quicklime, stone and water. The quicklime was produced by burning limestone at 850–900°C in wood-fired kilns and acted as the binder.;;12000BC-7000BC;;;
opus_caementicium_/_Roman_concrete;opus caementicium / Roman concrete;Historical;;;Origins of Cement;From lime to hydraulic concrete;The Romans developed the use of volcanic pozzolana. Combined with lime, sand and volcanic aggregate, it produced a durable concrete that could harden underwater.;;75BC-5th AD;;;
Greek_Pozzolanic_mortar;Greek Pozzolanic mortar;Historical;;;Origins of Cement;;In the southern Aegean, volcanic tuff from Thera (Santorini) was added to lime mortar. This significantly improved water resistance and durability and marked an important development in hydraulic lime-based materials. Its significance lay not only in its ability to harden underwater and form load-bearing masses, but also in the systematic production and controlled mixing of lime, pozzolana, sand and aggregate.;;500 BC;;;
Decline_of_cementious_knowledge;Decline of cementious knowledge;Historical;;;Origins of Cement;The decline of Roman cement knowledge;After the decline of Roman civilisation, the fall of its logistic network and reduced use of the knowledge led to a decline in mortar quality. Lime burning continued in the Western Roman Empire, but lower kiln temperatures, incomplete burning, a lack of pozzolanic additions and poor mixing reduced mortar quality. Construction in Anglo-Saxon Britain relied mainly on timber.;;5th–8th AD;;;
increased_demand_for_lime_mortar;Increased demand for lime mortar;Historical;;;Origins of Cement;;Because of the revival of masonry construction in the Norman period, demand for lime mortar increased. Burning, grinding and sieving practices improved.;;11th–12th AD;;;
Non-hydraulic_lime_mortar;Non-hydraulic lime mortar;Historical;;;Origins of Cement;;Non-hydraulic lime mortar was widely used in England for masonry joints, wall cores and foundations of cathedrals and walls. Although relatively weak and vulnerable to weathering, it was adequate for structures designed primarily to carry loads in compression.;;13th AD;;;
Pozzolanic_trass;Pozzolanic trass;Historical;;;Origins of Cement;The return of pozzolanic additions;Pozzolanic trass from the Rhineland was imported into England on a large scale via the Netherlands.;;17th AD;;;
Sir_Henry_Shere;Sir Henry Shere;Historical;;;Origins of Cement;;Sir Henry Shere experimented with Italian pozzolana and trass in different mortar mixtures to determine the best formulation for underwater setting and hardening.;;1683;;;
Oil_Cements;Oil Cements;Historical;;;Origins of Cement;The search for water resistance;Facade plasters based on linseed oil and fillers such as marble dust, clay and blood serum led to a patent by Alexander Emerton Pail. This marked the beginning of a series of patents by Dr. Daniel Wark (1765), Charles Rawlinson Linseed (1772), John Liardet (1773, 1776) and John Johnson (1777). Although an evolutionary dead end, this stimulated the subsequent search for water-resistant mortars to imitate natural stone.;;1737;;;
From_Hydraulic_Lime_to_Portland_Cement;From Hydraulic Lime to Portland Cement;Historical;;;Origins of Cement;The transition toward Portland cement;;;;;;
John_Smeaton;John Smeaton;Historical;;;Origins of Cement;;John Smeaton was the first to systematically research how lime becomes hydraulic in England.;;1756;;;
Roman_Cement''_/_Natural_cement;'Roman Cement'' / Natural cement;Historical;;;Origins of Cement;;Patented by James Parker as the first commercially successful natural cement. Parker’s 1796 patent described grinding clay-rich septaria into a brown cement powder. Mixed with water, the cement hardened rapidly, within 10–20 minutes, both underwater and in air.;;1796;;;
Louis_Joseph_Vicat;Louis Joseph Vicat;Historical;;;Origins of Cement;;Louis Joseph Vicat systematically classified hydraulic limes and researched artificial hydraulic lime. He tested different types of lime and investigated how their composition affected setting and hardening. He experimented with proportions, grinding and firing temperatures of limestone and clay to determine an effective mixture.;;1818;;;
Proto-portland_ara;Proto-portland era;Historical;;;Origins of Cement;The period of the direct predecessor of Portland cement. ;A major transition occurred during the eighteenth and early nineteenth centuries, when the behaviour of hydraulic binders began to be investigated more systematically. John Smeaton conducted experiments into the factors determining the hydraulic properties of lime, particularly the influence of clay impurities and the relationship between composition, burning and grinding. His work marked an important transition from empirical craft knowledge towards systematic investigation of cementitious materials.;;1824-1844;;;
PC;Portland Cement;Historical;;;Origins of Cement;The emergence of Portland cement;Patented by Joseph Aspin in the UK, laying the foundation for the modern Portland cement industry. The wording of his patent was unclear and difficult to interpret. It described specific quantities of limestone and clay, but did not clearly state their proportions or provide details about the firing and grinding process in this source.;;1824;;;
Meso-Portland_Cement;Meso-Portland Cement;Historical;;;Origins of Cement;;Introduced by William Aspin, this cement was stronger, harder and more durable. Tests showed that, mixed with three parts sand, it was more than twice as strong as Roman cement. Its growing reputation, combined with shortages, taxation and a construction failure, contributed to the decline of Roman cement.;;1843;;;
Isaac_Charles_Johnson;Isaac Charles Johnson;Historical;;;Origins of Cement;;Isaac Charles Johnson investigated highly vitrified clinker and introduced more consistent and rational manufacturing methods, making Portland cement production more systematic.;;1844;;;
International_expansion;International expansion;Historical;;;Industrialisation and Global Expansion;From British innovation to international production;From British innovation to the first European productions. France (1950), Germany (1950), Denmark (1868), Switzerland (1871), the US (1871), Belgium (1872), Sweden (1873), the Netherlands (1875) and Norway (1888).;;1850-1888;;;
Industrialisation;Industrialisation;Historical;;;Industrialisation and Global Expansion;Industrialisation and scale;;;;;;
Portland_blastfurnace_slag_cement;Portland blastfurnace slag cement;Historical;;;Industrialisation and Global Expansion;Using blast-furnace slag;The first Portland blast-furnace slag cement was produced in Germany. It was used in construction in Paris by 1869. Portland blast-furnace slag cement was later patented by Bosse and Wolters in 1880, using a method of mixing finely ground blast-furnace slag with thoroughly burnt slaked lime.;;1880;;;
Henri_Le_Chatelier;Henri Le Chatelier;Historical;;;Industrialisation and Global Expansion;;Henri Le Chatelier established a scientific basis for cement chemistry, marking a milestone towards modern Portland cement.;;1887;;;
Cement_standarisation;Portland cement standarisation;Historical;;;Industrialisation and Global Expansion;The emergence of cement standards;German, Swiss and French specifications established the basic framework for modern Portland cement standards in 1887. In 1904, the first British cement standard (BS 12) and American standard (ASTM C9) emerged.;;1887;;;
Cement_industry_production;Cement industry production ;Historical;;;Industrialisation and Global Expansion;;The rapidly growing cement industry produced 1,000,000 tonnes per year in 1887 and already 4,000,000,000 tonnes per year in 2013.;;1887;;;
Ball-_and_tube_mills;Ball- and tube mills;Historical;;;Industrialisation and Global Expansion;Industrial grinding technology;German and Danish companies developed improved grinding mills, allowing cement materials to be ground more efficiently.;;1891-1893;;;
Pulverised_coal;Pulverised coal;Historical;;;Industrialisation and Global Expansion;;Used as kiln fuel in the United States, pulverised coal made it possible to achieve the high temperatures required for Portland cement production.;;1890s;;;
Rotary_kiln;Rotary kiln;Historical;;;Industrialisation and Global Expansion;Advancing kiln technology;The first rotary kiln concept for cement production was patented by Thomas Crampton. The improved rotary kiln was patented in the United States and subsequently adopted in Germany (1896) and Britain (1899). This marked a major step towards modern Portland cement production.;;1895;;;
‘ciment_fondu’;‘ciment fondu’;Historical;;;Industrialisation and Global Expansion;The rise of specialised cements;Calcium aluminate cement (CAC) was developed by fusing bauxite with limestone and patented by Jules Bied. Its rapid hardening led to military use during WWI and commercialisation in 1918. Between the wars, it was increasingly used for rapid repairs and applications requiring high durability, particularly against seawater.;;1908;;;
Specialisation_of_portland_cements;Specialisation of portland cements;Historical;;;Industrialisation and Global Expansion;Diversification of cement types;White and coloured Portland cements were introduced from the US. Low-heat cements, masonry cements, sulphate-resistant Portland cements and commercial production of super-sulphated cements in Belgium and France were also developed. Sulphate-resistant cements emerged in the US in the late 1930s. Oil-well cements followed from the 1950s onwards, as well as microfine cements (1974), air-entraining cements, limestone cements, expansive cements and shrinkage-compensated cements. Low-cement castables and ultra-low-cement castables were also developed. Purdocement contributed to the commercial production of an alkali-activated slag cement in Belgium.;;'30-''90;;;
Fly-ash;Fly-ash;Historical;;;Industrialisation and Global Expansion;Supplementing and replacing Portland cement;Fly ash, a by-product of pulverised coal combustion in power generation, was comprehensively researched by R.E. Davis. Later, SCMs such as silica fume, metakaolin and rice husk ash were developed to supplement or replace Portland cement. Its first major use was in Hoover Dam repairs (1942), followed by Hungry Horse Dam (1948) and its first British use at Lednock Dam (1954).;;1942;;;
vertical_roller_mills_;vertical roller mills;Historical;;;Industrialisation and Global Expansion;;Innovation in milling technology increased the adoption of vertical roller mills and dynamic separators, replacing conventional ball-mill systems.;;'80s;;;
dry-process_kilns_;dry-process kilns;Historical;;;Industrialisation and Global Expansion;;Innovations in kiln technology enabled the transition from old wet/static kilns to dry-process kilns with multi-stage cyclone preheaters and precalciners.;;'60s/''70s;;;
European_Cement_Standard;European Cement Standard;Historical;;;Industrialisation and Global Expansion;Harmonising European cement standards;The European standard EN 197-1 defines 27 harmonised blended cements (CEM I to CEM V) and permits up to 5% mineral addition, such as limestone powder, in standard Portland cement (CEM I).;;1999;;;
Alternative_(non-portland)cements;Alternative (non-portland) cements;Historical;;;Future of Cement and Concrete;Beyond Portland cement;Environmental concerns drove the development of low-clinker, sulfoaluminate, magnesium-based and belite-rich cements, alongside alkali-activated materials and geopolymers, to reduce CO₂ emissions.;;'90s-present;;;
Tactile_Qualities;Tactile Qualities;Sensory;;;Sensory Experience of Concrete;How Concrete Feels;Concrete is generally experienced as a hard, solid and rigid material. It may feel smooth or rough depending on its surface finish and usually feels cool under indoor conditions. ;;;;;
Experience;Material Experience;Sensory;;;Sensory Experience of Concrete;How Concrete Is Perceived;The experience of concrete is shaped by its colour, texture, temperature, sound and physical weight. Depending on its treatment and context, it can feel raw, refined, natural, industrial or calm. ;;;;;
Finishing;Surface Finish;Sensory;;;Sensory Experience of Concrete;Texture and Surface Appearance;Polishing, grinding, washing and casting techniques determine the final texture and appearance of concrete. A smooth finish may appear controlled and refined, while a rough finish creates a more tactile character.  ;Finishing.png;;;;
Reflectivity;Reflectivity;Sensory;;;Sensory Experience of Concrete;Interaction with Light;The amount of light reflected by concrete depends on its colour, texture and moisture level. Smooth concrete generally reflects more light, while rough or wet surfaces appear darker and less reflective. ;Reflectivity.jpg;;;;
Opacity;Opacity;Sensory;;;Sensory Experience of Concrete;Solidness and Visual Enclosure;Conventional Portland cement concrete is an opaque material. Light cannot pass through its solid body, which strengthens its visual sense of mass and enclosure. ;;;;;
Color;Color Variation;Sensory;;;Sensory Experience of Concrete;Changes in Tone and Color; Concrete is generally grey, but its colour is rarely completely uniform. Cement type, aggregates, water content, curing conditions and environmental exposure can create different tones and surface variations. ;;;;;
Form;Formwork;Sensory;;;Sensory Experience of Concrete;Marks of the Casting Process;Formwork determines the final geometry and surface character of cast concrete. Timber grain, panel joints, tie holes and other construction marks may remain visible after the mould is removed.  ;;;;;
Exposed_Aggregate;Exposed Aggregate;Sensory;;;Sensory Experience of Concrete;Visible Texture and Composition;Grinding or washing can remove the cement-rich outer layer and reveal the aggregates beneath. Their colour, size and pattern then become part of the visual and tactile character of the surface. ;Exposed_Aggregate.png;;;;
Thermal_Mass;Thermal Mass;Sensory;;;Sensory Experience of Concrete;Sensation and Storage of Heat;Concrete can absorb, store and slowly release heat over time. Therefore, it may feel cool in shaded interiors and become warmer after exposure to sunlight or heating. ;;;;;
Sound;Sound Reflection;Sensory;;;Sensory Experience of Concrete;The Acoustic Character of Concrete;Hard concrete surfaces reflect sound rather than absorbing it. Large exposed areas may therefore increase echo and reverberation within an interior space. ;;;;;
Spatial_Perception;Spatial Perception;Sensory;;;Sensory Experience of Concrete;Shaping the Experience of Space;The mass, scale and continuity of concrete affect how a space is perceived. It can make an environment feel solid, enclosed, protective, open or continuous depending on its form. ;;;;;
Architectural_Environment;Architectural Atmosphere;Sensory;;;Sensory Experience of Concrete;The Mood Created by Concrete;Concrete can create raw, industrial, calm, minimal or monumental architectural environments. Its atmosphere changes according to surface texture, daylight, scale and surrounding materials. ;Architectural_Environment.png;;;;
Transformation;Material Transformation;Sensory;;;Sensory Experience of Concrete;Changes Through Making and Use;The sensory characteristics of concrete do not remain fixed throughout its life. Its colour, texture and surface condition gradually transform through use, weathering and environmental exposure. ;;;;;
Environmental_Exposure;Environmental Exposure;Sensory;;;Sensory Experience of Concrete;Effects of Weather and Climate;Rain, sunlight, moisture, pollution and temperature changes affect the appearance of concrete. These conditions may create stains, colour variations, biological growth and surface deterioration. ;;;;;
Patina;Patina;Sensory;;;Sensory Experience of Concrete;Character Developed Over Time;Concrete develops visible traces of age through staining, biological growth, exposed aggregates and worn edges. This patina can record the material’s environmental history and patterns of human use.  ;Patina.jpg;;;;
Discolouration;Discolouration;Sensory;;;Sensory Experience of Concrete;Changes in Surface Color;Concrete may develop irregular colour differences because of uneven curing, mixture variations, moisture or pollution. Wet areas may also temporarily appear darker than dry surfaces. ;Discolouration.png;;;;
Efflorescence;Efflorescence;Sensory;;;Sensory Experience of Concrete;Visible Salt Deposits;Water can move through the pores of concrete and carry soluble salts towards the surface. When the water evaporates, white or grey powdery deposits may remain. ;;;;;
Biological_Growth;Biological Growth;Sensory;;;Sensory Experience of Concrete;Nature Growing on Concrete;Moss, algae and lichens may develop on concrete surfaces in damp and shaded environments. This growth can introduce green, black or grey tones and produce a softer, irregular texture.  ;;;;;
Abrasion;Wear and Abrasion;Sensory;;;Sensory Experience of Concrete;Traces of Use and Contact;Walking, vehicles, cleaning and repeated physical contact gradually remove the outer cement-paste layer. As the surface wears, scratches and exposed aggregates may become visible.;;;;;
Ageing;Concrete Ageing;Sensory;;;Sensory Experience of Concrete;Material Change Over Time;Concrete changes slowly throughout its service life. Discolouration, cracking, abrasion, biological growth and exposed aggregates can make the surface appear older and more irregular.;Ageing.jpg;;;;
Visual_Weight;Visual Weight;Sensory;;;Sensory Experience of Concrete;The Perception of Mass and Heaviness;Concrete’s mass, thickness, scale and solidity often make it appear visually heavy. This quality can give a space a strong, stable and protective character. ;;;;;
Monumental_Effect;Monumentality;Sensory;;;Sensory Experience of Concrete;A Sense of Scale and Permanence;Large concrete forms and continuous surfaces can communicate strength, permanence and power. Scale and controlled daylight can further increase this monumental effect. ;Monumental_Effect.png;;;;
Material_Health;Material Health;Sensory;;;Sensory Experience of Concrete;Concrete’s Impact on Human Health;Health risks are mainly connected to wet concrete, cement dust and respirable crystalline silica. These risks are most significant during production, construction, cutting and demolition. ;;;;;
Indoor;Indoor Environmental Quality;Sensory;;;Sensory Experience of Concrete;Effects on Interior Comfort;Hardened and undamaged concrete is generally odourless and low-emitting. However, coatings, silica dust, thermal behaviour and sound reflection may influence indoor air quality and user comfort.;Indoor.png;;;;
Kiln_Reactions_Phase;Phase 1: Kiln Reactions;Scientific;Technical;;Production of Cement and Concrete;Thermochemical Stage;The primary thermochemical processing stage reaching 1450°C. Silicates comprise about 20% of the volume, reacting with calcium to form the main cementitious elements, while aluminium and iron act as fluxes to lower the required chemical processing temperature.;;;;;
Calcination_Reaction;Calcination (CaCO₃ → CaO + CO₂);Scientific;Ecological;Technical;Production of Cement and Concrete;Chemical Equation: CaCO₃ → CaO + CO₂;Occurs between 600°C and 900°C. This single thermochemical reaction accounts for roughly 80% of the material volume and approximately 60% of the total CO₂ emissions in cement manufacturing, making it the primary chemical driver of concrete's carbon footprint.;;;;;
C2S_Reaction;Dicalcium Silicate: 2CaO + SiO₂ → 2CaO·SiO₂;Scientific;;;Production of Cement and Concrete;Chemical Equation;Occurs at 1450°C. This reaction fuses calcium and silicate to form the Belite (C₂S) clinker phase.;;;;;
C3S_Reaction;Tricalcium Silicate: 3CaO + SiO₂ → 3CaO·SiO₂;Scientific;;;Production of Cement and Concrete;Chemical Equation;Occurs between 1200°C and 1450°C. This reaction fuses calcium and silicate to form the Alite (C₃S) clinker phase.;;;;;
C3A_Reaction;Tricalcium Aluminate: 3CaO + Al₂O₃ → 3CaO·Al₂O₃;Scientific;;;Production of Cement and Concrete;Chemical Equation;Occurs between 1300°C and 1450°C. Aluminium acts primarily to lower the extreme temperatures needed for the main silicate reactions to occur.;;;;;
C4AF_Reaction;Tetracalcium Aluminoferrite: 4CaO + Al₂O₃ + Fe₂O₃;Scientific;;;Production of Cement and Concrete;Chemical Equation;Occurs between 1300°C and 1450°C. Iron, alongside aluminium, is crucial for lowering the overall kiln temperature required to successfully fuse the raw materials.;;;;;
Central_Node;Cementious Concrete;;;;;;;Central_Node.jpg;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
